date,title,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8
2026-09-08,Essential Bar Tools,Boston Shaker,Hawthorne Strainer,Jigger,Bar Spoon,Muddler,Julep Strainer,Fine Mesh Strainer,Channel Knife
2026-09-09,Iconic Cocktail Glassware,Coupe,Nick and Nora,Highball,Collins,Rocks Glass,Martini Glass,Hurricane,Copper Mug
2026-09-10,Classic Gin Cocktails,Martini,Negroni,Gimlet,Tom Collins,Aviation,French 75,Corpse Reviver No. 2,Clover Club
2026-09-11,Classic Agave Cocktails,Margarita,Paloma,Tommy's Margarita,Oaxacan Old Fashioned,El Diablo,Batanga,Tequila Sunrise,Rosita
2026-09-12,Classic Rum Cocktails,Daiquiri,Mojito,Mai Tai,Pina Colada,Dark 'n' Stormy,Cuba Libre,Zombie,Painkiller
2026-09-13,Classic Whiskey Cocktails,Old Fashioned,Manhattan,Whiskey Sour,Boulevardier,Sazerac,Mint Julep,Rob Roy,Penicillin
2026-09-14,Famous Italian Amari,Fernet-Branca,Campari,Aperol,Amaro Nonino,Amaro Montenegro,Cynar,Amaro Averna,Amaro Lucano
2026-09-15,Essential Cocktail Syrups,Simple Syrup,Demerara Syrup,Orgeat,Grenadine,Honey Syrup,Agave Nectar,Gomme Syrup,Passion Fruit Syrup
2026-09-16,Essential Cocktail Garnishes,Lemon Twist,Lime Wheel,Maraschino Cherry,Green Olive,Mint Sprig,Orange Peel,Cocktail Onion,Salt Rim
2026-09-17,Essential Bartending Techniques,Shaking,Stirring,Muddling,Double Straining,Swizzling,Throwing,Layering,Expressing Citrus
2026-09-18,Classic Cocktail Families,Sours,Highballs,Fizzes,Juleps,Flips,Punches,Collinses,Daisies
2026-09-19,Popular Gin Botanicals,Juniper Berry,Coriander Seed,Angelica Root,Orris Root,Cardamom,Lemon Peel,Cassia Bark,Licorice Root
2026-09-20,Styles of World Whisky,Bourbon,Rye,Single Malt Scotch,Irish Whiskey,Peated Scotch,Tennessee Whiskey,Japanese Whisky,Canadian Whisky
2026-09-21,Classic Brandy Cocktails,Sidecar,Brandy Alexander,Vieux Carre,Metropolitan,Pisco Sour,French Connection,B&B,Brandy Daisy
2026-09-22,Fortified Wines in Cocktails,Sweet Vermouth,Dry Vermouth,Blanc Vermouth,Fino Sherry,Oloroso Sherry,Ruby Port,Madeira,Pedro Ximenez
2026-09-23,Cocktail Ice Varieties,Large Clear Cube,Clear Ice Sphere,Crushed Ice,Pebble Ice,Collins Spear,Cracked Ice,Shaved Ice,Standard Cube
2026-09-24,Classic Vodka Cocktails,Moscow Mule,Cosmopolitan,Bloody Mary,Espresso Martini,Vodka Martini,Greyhound,White Russian,Vesper
2026-09-25,Citrus Fruits of Mixology,Persian Lime,Lisbon Lemon,Ruby Red Grapefruit,Seville Orange,Yuzu,Meyer Lemon,Blood Orange,Bergamot
2026-09-26,Famous Orange Liqueurs,Cointreau,Grand Marnier,Pierre Ferrand Curacao,Triple Sec,Combier,Blue Curacao,Creole Shrubb,Naranja
2026-09-27,Classic Cocktail Bitters,Angostura Bitters,Peychaud's Bitters,Orange Bitters,Chocolate Bitters,Celery Bitters,Walnut Bitters,Grapefruit Bitters,Creole Bitters
2026-09-28,Bar Mise en Place Items,Speed Pourers,Bar Mat,Garnish Caddy,Cheater Bottles,Glass Rimmer,Ice Tongs,Store 'n' Pour Bottles,Bar Towel
2026-09-29,Historic Cocktail Birthplace Cities,New Orleans,New York,Havana,London,Paris,Florence,San Francisco,Venice
2026-09-30,Pioneering Bartenders in History,Jerry Thomas,Harry Craddock,Ada Coleman,Victor Bergeron,Donn Beach,Dick Bradsell,Dale DeGroff,Sasha Petraske
2026-10-01,Classic Tiki and Tropical Cocktails,Mai Tai,Zombie,Jungle Bird,Navy Grog,Fog Cutter,Scorpion,Painkiller,Saturn
2026-10-02,Key Elements of Cocktail Balance,Spirit Proof,Acidity,Sweetness,Dilution,Temperature,Bitterness,Texture,Aromatic Nose
2026-10-03,Refreshing Highball Cocktails,Gin and Tonic,Whiskey Highball,Dark 'n' Stormy,Paloma,Moscow Mule,Horse's Neck,Ranch Water,Presbyterian
2026-10-04,Herbal and Alpine Liqueurs,Chartreuse,Benedictine,Suze,Genepy,Strega,Galliano,Becherovka,Drambuie
2026-10-05,Classic Beer and Cider Cocktails,Michelada,Black Velvet,Boilermaker,Shandy,Snakebite,Red Eye,Beerita,Radler
2026-10-06,Foundations of Bar Hospitality,Warm Greeting,Fresh Water Service,Menu Guidance,Anticipating Needs,Clean Workstation,Eye Contact,Speed of Service,Gracious Farewell
2026-10-07,Coffee and Dessert Cocktails,Espresso Martini,Irish Coffee,White Russian,Grasshopper,Brandy Alexander,Mudslide,Golden Cadillac,Carajillo
2026-10-08,Modern Classic Cocktails,Penicillin,Paper Plane,Naked and Famous,Gin Basil Smash,Tommy's Margarita,Bramble,Oaxacan Old Fashioned,White Negroni
2026-10-09,Sparkling Wine Cocktails,French 75,Champagne Cocktail,Bellini,Aperol Spritz,Mimosa,Air Mail,Death in the Afternoon,Seelbach
2026-10-10,Distinctive World Spirits,Pisco,Cachaca,Mezcal,Aquavit,Grappa,Calvados,Genever,Absinthe
